"id","name","standard_value","position"
"1","accred","","1"
"2","techniek","","2"
"3","internrefnummer","","3"
"4","conform","","4"
"5","referentiemethode","","5"
"6","raportnaam","","6"
"8","temp","°C","8"
"9","resultin","kve","9"
"10","raportnaamEng","","10"
"11","techniekEng","","11"
"12","conformEng","","12"
"13","resultinEng","cfu","13"
"14","korteNaamEtiket_platen","","14"
"16","Analysenaam_Etiket_zakken","","16"
"17","Medianaam_Etiket_zakken","","17"
"18","Ophoping_incubatietijd_Etiket_zakken","","18"
"19","water_type","","19"
"20","matrix_type","","20"
"21","used_leg_media","","21"
"22","leg_procedure","","22"
