"id","research_profile","assay","dillutions","replicates","reference","hidden","project_order","conf_trip","reference_source"
"119","21","31","{""-2"":""0.01""}","0","{""ref_kve"":""100""}","1","1","0",NA
"120","21","38","{""-1"":""0.1""}","0","{""ref_kve"":""100""}","1","2","0",NA
"361","22","10","{""-1"":""0.1""}","0","{""ref_kve"":""5000""}","1","1","0",NA
"362","22","22","{""-1"":""0.1""}","0","{""ref_kve"":""100""}","1","2","0",NA
"363","22","29","{""-1"":""0.1""}","0","{""ref_kve"":""100""}","1","3","0",NA
"364","22","30","{""-1"":""0.1""}","0","{""ref_kve"":""100""}","1","4","0",NA
"365","22","31","{""-2"":""0.01""}","0","{""ref_kve"":""100""}","1","5","0",NA
"366","22","38","{""-1"":""0.1""}","0","{""ref_kve"":""10""}","1","6","0",NA
"648","75","10","{""-3"":""0.001"",""-4"":""0.0001""}","0","{""ref_kve"":""5000000""}","1","1","0",NA
"649","75","27","{""-1"":""0.1""}","0","{""ref_kve"":""500""}","1","2","0",NA
"650","75","31","{""-2"":""0.01""}","0","{""ref_kve"":""500""}","1","3","0",NA
"651","75","46","{""0"":""1""}","0","{}","1","4","0",NA
"660","77","10","{""-1"":""0.1"",""-2"":""0.01""}","0","{""ref_kve"":""1000000""}","1","1","0",NA
"661","77","27","{""-1"":""0.1""}","0","{""ref_kve"":""10""}","1","2","0",NA
"662","77","31","{""-2"":""0.01""}","0","{""ref_kve"":""100""}","1","3","0",NA
"663","77","46","{""0"":""1""}","0","{}","1","4","0",NA
"675","80","10","{""-3"":""0.001"",""-4"":""0.0001""}","0","{""ref_kve"":""5000000""}","1","1","0",NA
"676","80","27","{""-1"":""0.1"",""-2"":""0.01""}","0","{""ref_kve"":""100""}","1","2","0",NA
"677","80","29","{""-2"":""0.01"",""-3"":""0.001""}","0","{""ref_kve"":""50000""}","1","3","0",NA
"678","80","30","{""-2"":""0.01"",""-3"":""0.001""}","0","{""ref_kve"":""500""}","1","4","0",NA
"679","80","31","{""-2"":""0.01""}","0","{""ref_kve"":""100""}","1","5","0",NA
"680","80","36","{""0"":""1""}","0","{}","1","6","0",NA
"681","80","46","{""0"":""1""}","0","{}","1","7","0",NA
"720","87","22","{""-1"":""0.1""}","0","{""ref_kve"":""10""}","1","1","0",NA
"1042","122","17","{""0"":""1"",""-1"":""0.1"",""-2"":""0.01""}","0","{""ref_kve"":""100""}","1","1","0",NA
"1043","122","18","{""0"":""1"",""-1"":""0.1"",""-2"":""0.01""}","0","{""ref_kve"":""20""}","1","2","0",NA
"1044","122","45","{""0"":""1""}","0","{""ref_kve"":""1""}","1","3","0",NA
"1045","122","51","{""0"":""1""}","0","{""ref_kve"":""1""}","1","4","0",NA
"1046","122","52","{""0"":""1""}","0","{""ref_kve"":""1""}","1","5","0",NA
"1047","122","53","{""0"":""1""}","0","{""ref_kve"":""1""}","1","6","0",NA
"1048","122","54","{""0"":""1""}","0","{""ref_kve"":""1""}","1","7","0",NA
