"id","original_id","name","type_base","media_id","dillution","replicates","confirmation","confirmation_type","confirmation_script","confirmation_support","type","meta_assays","max_count","min_count","script","custom_fields","duration","start_from","active","hide_report","show_conf_table","confirmation_init","confirmation_depth","uses_indicator","uses_trip_indicator","article_code","billable"
"9","9","Aëroob psychrofiel kiemgetal 10°C (PCA)","1","[""21""]","1","0","0","0","[]","[]","1","","300","10","file:maz7218","{""accred"":"""",""techniek"":""Telplaat"",""internrefnummer"":""-"",""conform"":""Eigen methode"",""referentiemethode"":""-"",""raportnaam"":""A\u00ebroob psychrofiel kiemgetal 10\u00b0C"",""temp"":""10"",""resultin"":""kve"",""raportnaamEng"":""Total viable count 10\u00b0C"",""techniekEng"":""Colony count"",""conformEng"":""In-house method"",""resultinEng"":""cfu"",""korteNaamEtiket_platen"":""PCA"",""Analysenaam_Etiket_zakken"":"""",""Medianaam_Etiket_zakken"":"""",""Ophoping_incubatietijd_Etiket_zakken"":""""}","7","i","0","0","NULL","0","5","1","1","","1"
"10","10","Aëroob kiemgetal 30°C (QG) (PCA)","1","[""21""]","1","0","0","0","[]","[]","1","","300","10","file:maz7218","{""accred"":""Q"",""techniek"":""Telplaat"",""internrefnummer"":""MIC01-MAZ008"",""conform"":""Gelijkwaardig aan"",""referentiemethode"":""ISO 4833-1"",""raportnaam"":""A\u00ebroob kiemgetal 30\u00b0C"",""temp"":""30"",""resultin"":""kve"",""raportnaamEng"":""Total viable count 30\u00b0C"",""techniekEng"":""Colony count"",""conformEng"":""Equivalent to"",""resultinEng"":""cfu"",""korteNaamEtiket_platen"":""PCA"",""Analysenaam_Etiket_zakken"":"""",""Medianaam_Etiket_zakken"":"""",""Ophoping_incubatietijd_Etiket_zakken"":""""}","3","i","0","0","NULL","0","5","1","1","","1"
"11","11","Anaëroob kiemgetal 30°C (SCH)","1","[""35""]","1","0","0","0","[]","[]","1","","300","10","file:maz7218","{""accred"":"""",""techniek"":""Telplaat"",""internrefnummer"":""MIC01-MAZ025"",""conform"":""Eigen methode"",""referentiemethode"":"""",""raportnaam"":""Ana\u00ebroob kiemgetal 30\u00b0C"",""temp"":""30"",""resultin"":""kve"",""raportnaamEng"":""Total anaerobic count"",""techniekEng"":""Colony count"",""conformEng"":""In-house method"",""resultinEng"":""cfu"",""korteNaamEtiket_platen"":""SCH"",""Analysenaam_Etiket_zakken"":"""",""Medianaam_Etiket_zakken"":"""",""Ophoping_incubatietijd_Etiket_zakken"":""""}","3","i","0","0","NULL","0","5","1","1","","1"
"12","12","Bacillus cereus (QG) (MYP)","1","[""25""]","1","0","1","1","[{""chainId"":1,""mediaId"":""40"",""disposition"":""+""}]","[]","1","","150","10","file:maz7218","{""accred"":""Q"",""techniek"":""Telplaat"",""internrefnummer"":""MIC01-MAZ012"",""conform"":""Gelijkwaardig aan"",""referentiemethode"":""ISO 7932"",""raportnaam"":""Bacillus cereus"",""temp"":""30"",""resultin"":""kve"",""raportnaamEng"":""Bacillus cereus"",""techniekEng"":""Colony count"",""conformEng"":""Equivalent to"",""resultinEng"":""cfu"",""korteNaamEtiket_platen"":""MYP"",""Analysenaam_Etiket_zakken"":"""",""Medianaam_Etiket_zakken"":"""",""Ophoping_incubatietijd_Etiket_zakken"":""""}","2","i","0","0","4","0","5","1","1","","1"
"13","13","Campylobacter spp. | aan/afw","3","[""73"",""80"",""81""]","0","0","1","0","[{""chainId"":1,""mediaId"":""38"",""disposition"":""+""},{""chainId"":2,""mediaId"":""87"",""disposition"":""-""},{""chainId"":3,""mediaId"":""88"",""disposition"":""-""}]","[{""chainId"":1,""mediaId"":""105""}]","2","","1","0","file:maz7218grens","{""accred"":"""",""techniek"":""Grensreactie"",""internrefnummer"":""MIC01-MAZ026"",""conform"":""Gelijkwaardig aan"",""referentiemethode"":""ISO 10272-1"",""raportnaam"":""Campylobacter spp."",""temp"":""41,5"",""resultin"":""25 gram"",""raportnaamEng"":""Campylobacter spp."",""techniekEng"":""Presence\/absence"",""conformEng"":""Equivalent to"",""resultinEng"":""25 grams"",""korteNaamEtiket_platen"":""CAMP"",""Analysenaam_Etiket_zakken"":""Campylobacter - AAN\/AF"",""Medianaam_Etiket_zakken"":""Bolton broth"",""Ophoping_incubatietijd_Etiket_zakken"":""2 dag""}","4","i","0","0","5","0","5","1","1","","1"
"14","14","Clostridium perfringens (TSC)","1","[""32""]","1","0","1","1","[{""chainId"":1,""mediaId"":""65"",""disposition"":""-""},{""chainId"":2,""mediaId"":""66"",""disposition"":""+""},{""chainId"":3,""mediaId"":""107"",""disposition"":""+""}]","[{""chainId"":1,""mediaId"":""106""}]","1","","150","10","file:maz7218","{""accred"":"""",""techniek"":""Telplaat"",""internrefnummer"":""-"",""conform"":""Conform"",""referentiemethode"":""ISO 7937"",""raportnaam"":""Clostridium perfringens"",""temp"":""37"",""resultin"":""kve"",""raportnaamEng"":""Clostridium perfringens"",""techniekEng"":""Colony count"",""conformEng"":""In accordance with"",""resultinEng"":""cfu"",""korteNaamEtiket_platen"":""TSC"",""Analysenaam_Etiket_zakken"":"""",""Medianaam_Etiket_zakken"":"""",""Ophoping_incubatietijd_Etiket_zakken"":""""}","1","i","0","0","NULL","0","5","1","1","","1"
"15","15","Listeria monocytogenes","1","","1","0","1","0","[]",NA,"1","","150","10","","{""accred"":""QB"",""techniek"":"""",""internrefnummer"":"""",""conform"":""Conform"",""referentiemethode"":""ISO 11290-2"",""raportnaam"":""Listeria monocytogenes"",""media"":""ALOA"",""temp"":""37"",""resultin"":""kve""}","2","i","0","0",NA,"0","5","1","1","","1"
"16","15","Listeria monocytogenes | telling (QC)","1","[""69""]","1","1","1","1","[{""chainId"":1,""mediaId"":""40"",""disposition"":""+""},{""chainId"":2,""mediaId"":""44"",""disposition"":""+""},{""chainId"":3,""mediaId"":""43"",""disposition"":""+""},{""chainId"":4,""mediaId"":""45"",""disposition"":""+""},{""chainId"":5,""mediaId"":""46"",""disposition"":""-""}]","[]","1","","150","10","file:maz7218","{""accred"":""Q"",""techniek"":""Telplaat"",""internrefnummer"":""MIC01-MAZ015"",""conform"":""Conform"",""referentiemethode"":""ISO 11290-2"",""raportnaam"":""Listeria monocytogenes  |  telling"",""temp"":""37"",""resultin"":""kve"",""raportnaamEng"":""Listerta monocytogenes  |  count"",""techniekEng"":""Colony count"",""conformEng"":""In accordance with"",""resultinEng"":""cfu"",""korteNaamEtiket_platen"":""ALOA"",""Analysenaam_Etiket_zakken"":""Listeria mono - TELLING"",""Medianaam_Etiket_zakken"":""BPW"",""Ophoping_incubatietijd_Etiket_zakken"":""""}","2","i","0","0","8","0","5","1","1","","1"
"17","17","Aëroob kiemgetal 22°C (QC) (PCA-)","1","[""57""]","1","1","0","1","[]","[]","1","","300","10","file:maz7218","{""accred"":""Q"",""techniek"":""Telplaat"",""internrefnummer"":""MIC03-MAZ008"",""conform"":""Conform"",""referentiemethode"":""ISO 6222"",""raportnaam"":""A\u00ebroob kiemgetal 22\u00b0C"",""temp"":""22"",""resultin"":""kve"",""raportnaamEng"":""Total viable count 22\u00b0C"",""techniekEng"":""Colony count"",""conformEng"":""In accordance with"",""resultinEng"":""cfu"",""korteNaamEtiket_platen"":""PCA-"",""Analysenaam_Etiket_zakken"":"""",""Medianaam_Etiket_zakken"":"""",""Ophoping_incubatietijd_Etiket_zakken"":""""}","3","i","0","0","NULL","0","5","1","1","","1"
"18","18","Aëroob kiemgetal 36°C (QC) (PCA-)","1","[""57""]","1","1","0","1","[]","[]","1","","300","10","file:maz7218","{""accred"":""Q"",""techniek"":""Telplaat"",""internrefnummer"":""MIC03-MAZ008"",""conform"":""Conform"",""referentiemethode"":""ISO 6222"",""raportnaam"":""A\u00ebroob kiemgetal 36\u00b0C"",""temp"":""36"",""resultin"":""kve"",""raportnaamEng"":""Total viable count 36\u00b0C"",""techniekEng"":""Colony count"",""conformEng"":""in accordance with"",""resultinEng"":""cfu"",""korteNaamEtiket_platen"":""PCA-"",""Analysenaam_Etiket_zakken"":"""",""Medianaam_Etiket_zakken"":"""",""Ophoping_incubatietijd_Etiket_zakken"":""""}","2","i","0","0","NULL","0","5","1","1","","1"
