"id","test_id","name","alias","type","pos","endresults_driver","filter"
"1","1","kve","KVE","varchar","1","1","1"
"4","3","kve","Aangetoond?","varchar","1","1","4"
"6","5","kve","Aangetoond?","varchar","1","1","4"
"7","7","kve","pH","float","1","1","1"
"8","4","kve","kve","varchar","1","1","1"
"10","5","Ctwaarde","Ct waarde","int","2","0","0"
"11","6","kve","Result","float","1","1","1"
"12","6","MPNwaarde","MPN code","float","2","0","0"
"13","8","kve","Invoer","varchar","1","1","0"
"14","9","kve","Coliformen (roze)","int","1","1","1"
"15","9","Ecoli","E. coli (blauw)","int","2","1","1"
"16","7","kve2","pH duplo","varchar","2","1","0"
