"id","assay_base","matrix"
"1","9","7"
"2","10","7"
"3","10","8"
"5","11","7"
"6","12","7"
"7","12","8"
"9","13","7"
"10","14","7"
"11","15","7"
"12","15","8"
"13","15","9"
"14","17","13"
"15","17","15"
"16","18","13"
"17","18","15"
"18","19","13"
"20","20","13"
"22","21","13"
"23","21","14"
"24","22","7"
"25","22","8"
"27","23","10"
"28","24","10"
"29","25","7"
"30","25","8"
"31","25","9"
"32","26","7"
"33","26","8"
"35","27","7"
"36","27","8"
"38","28","14"
"45","31","7"
"46","31","8"
"47","32","9"
"48","33","7"
"49","33","8"
"51","34","7"
"52","34","8"
"53","35","7"
"54","36","7"
"55","36","8"
"56","36","9"
"57","37","8"
"59","38","7"
"60","38","8"
"62","39","7"
"63","39","8"
"65","40","7"
"66","40","8"
"67","40","9"
"68","41","10"
"69","41","16"
"70","42","7"
"71","43","8"
"72","44","14"
"73","45","13"
"74","45","14"
"75","45","15"
"76","46","7"
"78","47","7"
"79","47","8"
"81","48","7"
"82","48","10"
"83","49","7"
"84","49","8"
"85","49","9"
"86","49","13"
"87","49","14"
"88","49","15"
"89","55","7"
"90","56","7"
"91","57","7"
"92","58","13"
"93","58","14"
"94","58","15"
"95","60","10"
"96","60","16"
"97","61","16"
"98","62","16"
"101","65","16"
"102","66","16"
"103","67","7"
"104","68","11"
"105","69","11"
"106","70","7"
"107","71","7"
"108","81","7"
"109","82","7"
"110","82","8"
"111","82","9"
"112","83","11"
"113","84","11"
"114","85","11"
"115","87","7"
"116","87","8"
"117","87","9"
"118","87","10"
"119","87","13"
"120","87","14"
"121","87","15"
"122","87","16"
"123","87","11"
"124","88","7"
"125","89","7"
"126","90","7"
"127","91","7"
"128","93","7"
"129","95","7"
"130","95","8"
"131","95","9"
"132","96","7"
"133","96","8"
"134","96","9"
"135","97","7"
"136","98","7"
"137","99","7"
"138","99","8"
"139","99","9"
"140","100","7"
"141","100","8"
"142","100","9"
"143","101","12"
"146","104","12"
"149","107","10"
"150","108","13"
"151","109","13"
"152","110","7"
"153","112","15"
"154","113","15"
"155","114","14"
"156","115","14"
"157","116","15"
"160","119","15"
"163","122","15"
"164","123","14"
"165","124","15"
"166","125","16"
"167","126","15"
"168","127","15"
"169","128","7"
"170","129","7"
"171","130","13"
"172","130","14"
"174","131","13"
"175","131","14"
"176","131","15"
"177","132","13"
"178","132","14"
"179","132","15"
"180","133","13"
"181","133","14"
"182","133","15"
"183","134","15"
"184","135","7"
"185","136","7"
"186","137","7"
"187","138","7"
"188","139","16"
"189","140","13"
"190","140","14"
"191","141","11"
"192","142","9"
"193","143","9"
"194","144","9"
"195","145","9"
"196","146","9"
"199","149","9"
"200","150","9"
"201","151","9"
"202","152","9"
"203","153","13"
"204","153","14"
"206","154","16"
"207","155","7"
"208","156","7"
"209","157","7"
"210","157","8"
"211","157","9"
"212","158","13"
"213","159","13"
"214","159","14"
"215","159","15"
"216","160","7"
"217","160","16"
"218","161","7"
"219","162","10"
"220","163","7"
"221","163","16"
"222","164","13"
"223","164","14"
"224","164","15"
"225","165","16"
"226","166","7"
"227","166","8"
"228","166","9"
"229","166","16"
"230","167","13"
"231","167","14"
"232","167","15"
"233","168","7"
"234","169","7"
"235","170","13"
"236","170","14"
"237","170","15"
"238","171","7"
"239","171","8"
"240","171","9"
"241","171","16"
"242","172","7"
"243","40","11"
"244","176","13"
"245","178","13"
"246","180","13"
"247","201","15"
"248","231","16"
"249","238","16"
"250","240","16"
"251","242","10"
"252","245","10"
"253","248","10"
"255","252","16"
"258","258","7"
"259","261","7"
"260","264","7"
"261","277","9"
"262","299","7"
"263","299","8"
"264","301","9"
"266","123","15"
"267","346","15"
"268","346","14"
"269","337","7"
"270","361","7"
"271","384","7"
"272","398","7"
"273","398","8"
"274","398","9"
"275","409","7"
"276","419","7"
"277","432","7"
"278","441","7"
"279","441","8"
"280","486","7"
"281","488","7"
"282","494","15"
"283","498","13"
"284","498","14"
"285","498","15"
"286","521","7"
"287","524","7"
"288","529","7"
"289","531","7"
"290","544","18"
"291","553","7"
"292","555","7"
"293","557","7"
"294","560","7"
"295","562","7"
"296","20","15"
"297","121","14"
"298","19","15"
"299","587","7"
"300","590","7"
"301","679","7"
"302","681","7"
"303","685","7"
"304","687","7"
"305","691","7"
"306","696","7"
"307","696","8"
"308","696","9"
"309","700","7"
"310","120","14"
"311","80","7"
"312","726","7"
"313","726","8"
"314","733","7"
"315","176","7"
"316","736","7"
"317","738","7"
"318","746","13"
"319","748","16"
"320","751","7"
"321","753","7"
"322","539","7"
"323","541","7"
"325","772","7"
"326","774","7"
"327","793","7"
"328","793","8"
"329","793","9"
"330","798","7"
"331","800","7"
"332","803","7"
"333","805","7"
"334","807","7"
"335","809","7"
"336","811","7"
"337","813","15"
"338","815","7"
"339","817","11"
"340","770","16"
"341","826","15"
"342","831","15"
"343","46","8"
"344","847","9"
"345","912","7"
"346","914","7"
"347","916","7"
"348","922","7"
"349","925","7"
"350","928","18"
"351","928","7"
"352","928","8"
"354","928","13"
"355","928","14"
"356","928","15"
"357","928","16"
"358","930","7"
"359","930","18"
"360","557","18"
"361","486","18"
"362","488","18"
"363","521","18"
"364","544","7"
"365","553","18"
"366","555","18"
"367","912","18"
"368","914","18"
"369","916","18"
"370","108","18"
"371","109","18"
"372","948","7"
"373","948","18"
"374","950","7"
"375","950","18"
"376","952","7"
"377","952","18"
"378","922","18"
"379","955","7"
"380","955","18"
"381","957","7"
"382","957","18"
"383","959","7"
"384","959","18"
"385","965","7"
"386","965","18"
"387","968","7"
"388","968","18"
"389","995","7"
"390","995","18"
"391","997","7"
"392","997","18"
"393","1008","7"
"394","1008","18"
"395","1014","7"
"396","1014","18"
"397","1016","7"
"398","1016","18"
"399","1019","7"
"400","1019","18"
"401","1021","7"
"402","1021","18"
"403","1023","7"
"404","1023","18"
"405","1027","7"
"406","1027","18"
