"id","name","client"
"1","{""nl"":""Klantspecificatie"",""en"":""Customer specification""}",NA
"3","{""nl"":""EU Verordening 2073\/2005"",""en"":""EU Regulation 2073\/2005""}",NA
"4","{""nl"":""Drinkwaterbesluit"",""en"":""Drinking water legislation""}",NA
"6","{""nl"":""Infoblad 85 NVWA"",""en"":""Infosheet 85 NVWA""}",NA
"7","{""nl"":""Hygi\u00ebnecode Brood- en Banketbakkerij"",""en"":""Hygi\u00ebnecode Brood- en Banketbakkerij""}",NA
"8","{""nl"":""Hygi\u00ebnecode Boerderijzuivelbereiding"",""en"":""Hygi\u00ebnecode Boerderijzuivelbereiding""}",NA
"9","{""nl"":""Hygi\u00ebnecode ambachtelijke ijsbereider"",""en"":""Hygi\u00ebnecode ambachtelijke ijsbereider""}",NA
"10","{""nl"":""WHVBZ"",""en"":""WHVBZ""}",NA
"11","{""nl"":""EU Verordening 2023\/915"",""en"":""EU Regulation 2023\/915""}",NA
"12","{""nl"":""WHO richtlijn voor drinkwater"",""en"":""WHO Guidelines for drinking water""}",NA
"13","{""nl"":""EU Verordening 853\/2004"",""en"":""EU Regulation 853\/2004""}",NA
"14","{""nl"":""Beleidsregel warenwet TTX in levende tweekleppige weekdieren"",""en"":""Dutch commodity act policy rule TTX in live bivalve molluscs""}",NA
"15","{""nl"":""Hygi\u00ebnecode Horeca"",""en"":""Hygi\u00ebnecode Horeca""}",NA
"16","{""nl"":""Hygi\u00ebnecode Slagers- en Poeliersbedrijf"",""en"":""Hygi\u00ebnecode Slagers- en Poeliersbedrijf""}",NA
"17","{""nl"":""Hygi\u00ebnecode Visdetailhandel"",""en"":""Hygi\u00ebnecode Visdetailhandel""}",NA
"18","{""nl"":""EU Verordening 2019\/1009"",""en"":""EU Regulation 2019\/1009""}",NA
"19","{""nl"":""Global GAP - V6.0_SEP22"",""en"":""Global GAP - V6.0_SEP22""}",NA
