"id","name","active","hide","fields"
"1","M001 - Levensmiddelen	","1","0","{""accred"":"""",""internrefnummer"":""M001"",""conform"":""Eigen methode"",""referentiemethode"":"""",""door"":""M.A.Z."",""doorEng"":""M.A.Z."",""conformEng"":""In-house method""}"
"2","M002 - Water","1","0","{""accred"":""Q"",""internrefnummer"":""M002"",""conform"":""Conform"",""referentiemethode"":""NEN-EN-ISO 19458"",""door"":""M.A.Z."",""doorEng"":""M.A.Z."",""conformEng"":""In accordance with""}"
"3","M007 - Legionella","0","0","{""accred"":""Q"",""internrefnummer"":""Q, conform NEN 6265"",""conform"":""Conform"",""referentiemethode"":""NEN 6265"",""door"":""M.A.Z."",""doorEng"":""M.A.Z."",""conformEng"":""In accordance with""}"
"4","M008 - Rodac afdrukjes","1","0","{""accred"":""Q"",""internrefnummer"":""M008"",""conform"":""Conform"",""referentiemethode"":""ISO 18593"",""door"":""M.A.Z."",""doorEng"":""M.A.Z."",""conformEng"":""In accordance with""}"
"5","Door Klant","1","1","{""accred"":"""",""internrefnummer"":""-"",""conform"":"""",""referentiemethode"":"""",""door"":""Opdrachtgever"",""doorEng"":""Client"",""conformEng"":""""}"
"6","M003 - Karkassen","1","0","{""accred"":""Q"",""internrefnummer"":""M003"",""conform"":""Conform"",""referentiemethode"":""ISO 17604"",""door"":""M.A.Z."",""doorEng"":""M.A.Z."",""conformEng"":""In accordance with""}"
"7","M008 - Swab","1","0","{""accred"":""Q"",""internrefnummer"":""M008"",""conform"":""Conform"",""referentiemethode"":""ISO 18593"",""door"":""M.A.Z."",""doorEng"":""M.A.Z."",""conformEng"":""In accordance with""}"
"8","M009 - Luchtmetingen","1","0","{""accred"":""Q"",""internrefnummer"":""M009"",""conform"":""Eigen methode"",""referentiemethode"":"""",""door"":""M.A.Z."",""doorEng"":""M.A.Z."",""conformEng"":""In-house method""}"
"9","Door klant | Rodac","1","1","{""accred"":"""",""internrefnummer"":""-"",""conform"":"""",""referentiemethode"":"""",""door"":""Opdrachtgever"",""doorEng"":""Client"",""conformEng"":""""}"
"10","Door klant | Legionella","0","1","{""accred"":"""",""internrefnummer"":""-"",""conform"":"""",""referentiemethode"":"""",""door"":""Opdrachtgever"",""doorEng"":""Client"",""conformEng"":""""}"
"12","Door Labojuice/Lineage | 1 label","1","1","{""accred"":"""",""internrefnummer"":""-"",""conform"":"""",""referentiemethode"":"""",""door"":""Opdrachtgever"",""doorEng"":""Client"",""conformEng"":""""}"
"13","Door MAZ zonder Q","1","1","{""accred"":"""",""internrefnummer"":"""",""conform"":"""",""referentiemethode"":"""",""door"":""M.A.Z."",""doorEng"":""M.A.Z."",""conformEng"":""""}"
"14","Legionella - M007 (Q)","1","0","{""accred"":""Q"",""internrefnummer"":""M007"",""conform"":""Conform"",""referentiemethode"":""NEN-EN-ISO 11731 en NEN-EN-ISO 19458"",""door"":""M.A.Z."",""doorEng"":""M.A.Z."",""conformEng"":""In accordance with""}"
"15","Legionella - M007","1","0","{""accred"":"""",""internrefnummer"":""M007"",""conform"":""Conform"",""referentiemethode"":""NEN -EN-ISO 11731 en NEN-EN-ISO 19458"",""door"":""M.A.Z."",""doorEng"":""M.A.Z."",""conformEng"":""In accordance with""}"
"16","Legionella - Door klant","1","1","{""accred"":""-"",""internrefnummer"":""-"",""conform"":""-"",""referentiemethode"":""-"",""door"":""Opdrachtgever"",""doorEng"":""Client"",""conformEng"":""-""}"
"17","Door McCain Rodac | GEEN label","1","1","{""accred"":"""",""internrefnummer"":""-"",""conform"":"""",""referentiemethode"":"""",""door"":""Opdrachtgever"",""doorEng"":""Client"",""conformEng"":""""}"
